replica,N,T_K,E_Vpm,Tstar,Estar,rho_star,L_star,alpha_ewald,mean_Estar,sd_Estar_time,mean_mz,acceptance
6,50,253.0,0.0,3.2354004013777122,0.0,0.8,3.9685026299204984,2.015873679831797,-2027.3122203622959,41.08191192615087,0.15138749593654743,0.658836
7,50,253.0,0.0,3.2354004013777122,0.0,0.8,3.9685026299204984,2.015873679831797,-2024.1993426183788,40.37069456938798,0.277711785039581,0.658116
0,50,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2433.759521805945,42.58704665555334,0.8684176483393361,0.650164
1,50,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2444.6269612244255,53.59881642618498,0.8572862166592699,0.649912
2,50,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2411.0455820065627,44.38278995775054,0.8509038416834931,0.649512
3,50,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2428.6469941703017,43.295541230207355,0.8702664504418195,0.652884
4,50,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2447.116175865736,62.06333792518833,0.872898912136718,0.649336
5,50,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2440.5590374209664,42.35978836281247,0.8741131901482015,0.650684
6,50,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2415.4350975581347,40.924131070862124,0.8254747947503766,0.649828
7,50,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2441.5995947094416,50.52308386635888,0.8778744246857125,0.645304
0,100,253.0,0.0,3.2354004013777122,0.0,0.8,4.999999999999999,1.6000000000000003,-3965.4711966631053,59.77679722990802,0.07387721465556626,0.662824
1,100,253.0,0.0,3.2354004013777122,0.0,0.8,4.999999999999999,1.6000000000000003,-4011.363115428217,63.86235539789941,0.13744727210974525,0.657122
2,100,253.0,0.0,3.2354004013777122,0.0,0.8,4.999999999999999,1.6000000000000003,-4015.7762974181455,55.24613181477821,-0.15432034879290302,0.66274
3,100,253.0,0.0,3.2354004013777122,0.0,0.8,4.999999999999999,1.6000000000000003,-4026.199167012896,64.79418932610594,-0.11227823100498643,0.659956
4,100,253.0,0.0,3.2354004013777122,0.0,0.8,4.999999999999999,1.6000000000000003,-4001.285245111438,63.93342300257814,-0.1409137827045237,0.664208
5,100,253.0,0.0,3.2354004013777122,0.0,0.8,4.999999999999999,1.6000000000000003,-4065.6657030302104,53.21689456882849,0.28325417280313575,0.656608
6,100,253.0,0.0,3.2354004013777122,0.0,0.8,4.999999999999999,1.6000000000000003,-4011.09075555773,74.46566396484005,0.12183587335226408,0.663092
7,100,253.0,0.0,3.2354004013777122,0.0,0.8,4.999999999999999,1.6000000000000003,-4032.251869313544,51.88102440257954,0.052374848205512,0.657936
0,100,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4875.413111893146,83.99825396862504,0.861208128925013,0.652736
1,100,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4955.6041051705815,67.66178384217024,0.8864954145241677,0.650708
2,100,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4840.59090593543,76.36840843136903,0.8657218337951037,0.65409
