replica,N,T_K,E_Vpm_0,Tstar_0,Estar_0,rho_star_0,L_star_0,alpha_ewald_0,mean_Estar_0,sd_Estar_time_0,mean_mz_0,acceptance_0,E_Vpm_E,Tstar_E,Estar_E,rho_star_E,L_star_E,alpha_ewald_E,mean_Estar_E,sd_Estar_time_E,mean_mz_E,acceptance_E,delta_E,pct_change,lower_energy
5,20,253.0,0.0,3.235400401377712,0.0,0.8,2.924017738212866,2.735961514682715,-809.0241309628082,25.47980551508553,-0.2975336662928802,0.65813,1000000000.0,3.235400401377712,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-952.0134017338548,22.659939437167576,0.8364085527949037,0.66740996,-142.98927077104668,17.6742899622632,True
6,20,253.0,0.0,3.235400401377712,0.0,0.8,2.924017738212866,2.735961514682715,-841.8277363589626,38.5857436405439,-0.002870809383971,0.6606,1000000000.0,3.235400401377712,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-958.8575594762248,27.07988444189445,0.8498156158787428,0.66178,-117.02982311726214,13.901873039184302,True
7,20,253.0,0.0,3.235400401377712,0.0,0.8,2.924017738212866,2.735961514682715,-802.0889550478097,30.71099820730861,0.4525931004620004,0.66971,1000000000.0,3.235400401377712,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-953.382262850455,26.195253560625986,0.8227564497242487,0.65731,-151.29330780264536,18.862410066926717,True
0,50,253.0,0.0,3.235400401377712,0.0,0.8,3.9685026299204975,2.015873679831797,-1993.4077813729537,39.41910024771028,0.1605568750028246,0.660484,1000000000.0,3.235400401377712,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2433.759521805945,42.58704665555334,0.8684176483393361,0.650164,-440.3517404329914,22.090399392827713,True
1,50,253.0,0.0,3.235400401377712,0.0,0.8,3.9685026299204975,2.015873679831797,-2033.1982247600747,35.561550329580044,-0.1038170554087577,0.660956,1000000000.0,3.235400401377712,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2444.626961224425,53.59881642618498,0.8572862166592699,0.649912,-411.4287364643503,20.23554474197421,True
2,50,253.0,0.0,3.235400401377712,0.0,0.8,3.9685026299204975,2.015873679831797,-2019.4824601345945,44.16604953203531,-0.0459010738472282,0.657456,1000000000.0,3.235400401377712,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2411.0455820065627,44.38278995775054,0.8509038416834931,0.649512,-391.5631218719682,19.38928064994787,True
3,50,253.0,0.0,3.235400401377712,0.0,0.8,3.9685026299204975,2.015873679831797,-2025.4900846435671,45.01614239099752,0.0851768359914076,0.662144,1000000000.0,3.235400401377712,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2428.6469941703017,43.29554123020736,0.8702664504418195,0.652884,-403.1569095267346,19.904166037805098,True
4,50,253.0,0.0,3.235400401377712,0.0,0.8,3.9685026299204975,2.015873679831797,-2033.819641515773,50.46017479966579,-0.4788151667285038,0.659756,1000000000.0,3.235400401377712,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2447.116175865736,62.06333792518833,0.872898912136718,0.649336,-413.29653434996294,20.321198886738046,True
5,50,253.0,0.0,3.235400401377712,0.0,0.8,3.9685026299204975,2.015873679831797,-1988.7476829032648,43.40431007605759,-0.0053237782411014,0.659904,1000000000.0,3.235400401377712,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2440.5590374209664,42.35978836281247,0.8741131901482015,0.650684,-451.8113545177016,22.71838496164213,True
6,50,253.0,0.0,3.235400401377712,0.0,0.8,3.9685026299204975,2.015873679831797,-2027.312220362296,41.08191192615087,0.1513874959365474,0.658836,1000000000.0,3.235400401377712,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2415.4350975581347,40.92413107086213,0.8254747947503766,0.649828,-388.12287719583856,19.144701703937738,True
